model_id,case_id,run_id,variant,task,execution_role,backend,setup_id,producer_identity_sha256,producer_binding_eligible,technical_status,scientific_status,decision,delta,ci_low,ci_high,decision_basis,gate_bound_value,ci_computed,uncertainty_status,margin,bootstrap_repetitions,cache_hit,error
yolov7_paper,b011,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,63722ed0ffb4599cb1c021dff93e17ae63112e32eecc91d6e227395ee504b3da,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b044,deepx_to_trt,composed,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b044,ort_tensorrt,composed,detection,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,b7f406c8b7f6da7755711090d8a3d76b86f700432790d7dbc2e6ef6a514b39d9,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,full,deepx_m1_full,full,,,,orin_nx_deepx_m1_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_deepx_m1_01,f0e4fde1d287021e970e46b2f654bd34aa1da7213e12a95278a318398f7f393e,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,hailo10,full,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b044,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b011,hailo10h_to_trt,composed,,,,orin_nx_hailo10_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo10_01,6f6fb1c5c25f6d5f8dea87b502dbb0cc09d9556823637abd1b2260d53c76bef3,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,hailo8,full,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b009,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b011,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,b044,hailo8_to_trt,composed,,,,orin_nx_hailo8_01,,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
yolov7_paper,full,native_full_tensorrt,full,detection,full_quality_only,tensorrt,orin_nx_hailo8_01,ee05e1c1bc9f0fc54254d9f541f1cbe18db2a6a5092d18b0b3b82bbb603d2686,False,failed,unavailable,unavailable,,,,,,,,,,,QualityServiceClosedError: management quality service is closed
